test_id,failure_date,module,device,os_version,severity,error_type,resolved
T0432,2025-10-28,OTP,iPhone 12,iOS 17,HIGH,NullPointerException,1
T0627,2025-08-21,UPI,Pixel 7,Android 14,CRITICAL,NullPointerException,0
T0484,2026-01-01,Payment,iPhone 14,iOS 17,CRITICAL,NetworkError,1
T0648,2025-10-03,OTP,Samsung A34,Android 13,HIGH,AssertionError,1
T0691,2025-03-18,Payment,Pixel 8,Android 15,CRITICAL,NetworkError,1
T0539,2025-01-27,AccountSecurity,iPhone 15,iOS 18,MEDIUM,ValueError,1
T0189,2025-02-05,Authentication,Pixel 7,Android 14,CRITICAL,NetworkError,0
T0423,2025-02-17,OTP,iPhone 12,iOS 17,MEDIUM,AssertionError,0
T0175,2025-07-23,FraudDetection,iPhone 12,iOS 17,MEDIUM,AssertionError,0
T0447,2025-08-17,Authorization,Samsung A34,Android 13,CRITICAL,ValueError,1
T0764,2025-08-05,AccountSecurity,iPhone 14,iOS 17,MEDIUM,AuthError,1
T0986,2025-08-24,AccountSecurity,iPhone 12,iOS 17,HIGH,ValueError,0
T0553,2025-03-21,Payment,Samsung S24,Android 15,MEDIUM,ValueError,0
T0761,2025-05-10,Authentication,Samsung A54,Android 14,HIGH,TimeoutError,1
T0725,2025-05-02,AccountSecurity,Samsung S24,Android 15,CRITICAL,ValueError,0
T0312,2025-10-20,Payment,Samsung S24,Android 15,HIGH,AssertionError,1
T0644,2025-09-20,FraudDetection,Pixel 8,Android 15,CRITICAL,NullPointerException,0
T0771,2025-07-12,FraudDetection,iPhone 14,iOS 17,MEDIUM,NetworkError,1
T0178,2025-08-19,Transaction,Pixel 7,Android 14,MEDIUM,AssertionError,1
T0329,2025-02-24,OTP,iPhone 15,iOS 18,CRITICAL,AssertionError,0
T0589,2025-10-19,Transaction,Pixel 7,Android 14,CRITICAL,NullPointerException,0
T0526,2025-09-05,Transaction,Pixel 8,Android 15,HIGH,NullPointerException,0
T0990,2025-12-14,Authentication,Pixel 7,Android 14,MEDIUM,NullPointerException,1
T0196,2025-10-13,Payment,iPhone 14,iOS 17,MEDIUM,ValueError,1
T0277,2025-03-19,UPI,Pixel 7,Android 14,MEDIUM,TimeoutError,1
T0872,2025-05-31,OTP,iPhone 15,iOS 18,CRITICAL,AuthError,0
T0564,2025-03-15,Payment,iPhone 14,iOS 17,CRITICAL,AuthError,1
T0780,2025-08-15,Authentication,Samsung S24,Android 15,CRITICAL,NullPointerException,0
T0652,2025-03-10,FraudDetection,iPhone 12,iOS 17,MEDIUM,NetworkError,1
T0245,2025-03-30,AccountSecurity,iPhone 15,iOS 18,CRITICAL,AuthError,1
T0291,2025-06-17,AccountSecurity,Samsung S24,Android 15,MEDIUM,TimeoutError,1
T0578,2025-08-20,Authentication,Samsung A54,Android 14,MEDIUM,ValueError,0
T0283,2025-11-02,OTP,Pixel 8,Android 15,MEDIUM,AssertionError,1
T0132,2025-08-19,Authorization,iPhone 12,iOS 17,HIGH,ValueError,1
T0336,2025-10-22,Authentication,Samsung A54,Android 14,MEDIUM,TimeoutError,0
T0486,2025-07-17,Authorization,Samsung A54,Android 14,CRITICAL,AssertionError,1
T0135,2025-10-22,Authentication,Samsung S24,Android 15,HIGH,NetworkError,1
T0006,2025-11-24,FraudDetection,Samsung S24,Android 15,MEDIUM,NetworkError,1
T0647,2025-08-05,Payment,Samsung A34,Android 13,CRITICAL,AuthError,1
T0421,2025-07-08,OTP,iPhone 14,iOS 17,HIGH,NullPointerException,0
T0623,2025-04-11,OTP,Samsung A54,Android 14,CRITICAL,ValueError,0
T0853,2025-03-08,OTP,Samsung S24,Android 15,HIGH,NullPointerException,1
T0134,2025-04-06,Authorization,Samsung A54,Android 14,CRITICAL,AuthError,0
T0692,2025-09-20,Transaction,iPhone 15,iOS 18,MEDIUM,NetworkError,0
T0334,2025-05-19,Transaction,Samsung A34,Android 13,HIGH,TimeoutError,1
T0475,2025-10-11,AccountSecurity,iPhone 14,iOS 17,HIGH,NullPointerException,1
T0523,2025-06-23,FraudDetection,Pixel 7,Android 14,CRITICAL,TimeoutError,1
T0135,2025-05-21,Authentication,Samsung S24,Android 15,HIGH,NullPointerException,0
T0709,2025-08-27,Transaction,iPhone 12,iOS 17,MEDIUM,AssertionError,0
T0741,2025-10-11,AccountSecurity,iPhone 15,iOS 18,MEDIUM,TimeoutError,0
T0704,2025-05-19,AccountSecurity,iPhone 15,iOS 18,HIGH,AuthError,1
T0707,2025-02-15,Authorization,Samsung S24,Android 15,CRITICAL,NullPointerException,0
T0432,2025-08-24,OTP,iPhone 12,iOS 17,HIGH,NullPointerException,1
T0883,2025-05-31,Authorization,Samsung A54,Android 14,CRITICAL,ValueError,1
T0836,2025-04-01,OTP,Samsung S24,Android 15,HIGH,TimeoutError,1
T0378,2025-10-13,FraudDetection,iPhone 15,iOS 18,HIGH,AssertionError,1
T0175,2025-06-12,FraudDetection,iPhone 12,iOS 17,CRITICAL,NetworkError,1
T0066,2025-11-15,Payment,Samsung A54,Android 14,MEDIUM,NullPointerException,0
T0271,2025-02-26,Payment,Pixel 8,Android 15,CRITICAL,AuthError,1
T0502,2025-11-08,Authorization,Samsung S24,Android 15,CRITICAL,NullPointerException,0
T0083,2025-07-03,UPI,Samsung A34,Android 13,CRITICAL,AuthError,0
T0420,2025-01-16,AccountSecurity,Pixel 7,Android 14,MEDIUM,NetworkError,1
T0464,2025-05-24,OTP,Samsung S24,Android 15,MEDIUM,AssertionError,0
T0729,2025-10-20,Payment,Samsung A54,Android 14,MEDIUM,NetworkError,0
T0586,2025-01-08,Payment,Pixel 7,Android 14,CRITICAL,NetworkError,0
T0875,2025-04-07,OTP,Pixel 8,Android 15,MEDIUM,NetworkError,0
T0726,2025-01-09,UPI,iPhone 14,iOS 17,MEDIUM,AuthError,1
T0876,2025-04-13,FraudDetection,Samsung A34,Android 13,HIGH,NullPointerException,1
T0648,2025-01-20,OTP,Samsung A34,Android 13,HIGH,TimeoutError,0
T0146,2025-06-19,Authorization,Samsung A54,Android 14,CRITICAL,NetworkError,1
T0780,2025-09-10,Authentication,Samsung S24,Android 15,MEDIUM,ValueError,0
T0286,2025-08-23,Payment,Pixel 7,Android 14,HIGH,NullPointerException,0
T0312,2025-10-05,Payment,Samsung S24,Android 15,CRITICAL,AuthError,0
T0611,2025-10-20,Transaction,Pixel 7,Android 14,CRITICAL,TimeoutError,0
T0639,2025-10-01,Transaction,iPhone 12,iOS 17,HIGH,ValueError,1
T0618,2025-12-14,Payment,Samsung A54,Android 14,CRITICAL,NullPointerException,1
T0500,2025-05-12,Transaction,Samsung S24,Android 15,CRITICAL,ValueError,0
T0144,2025-04-15,Authentication,iPhone 15,iOS 18,CRITICAL,TimeoutError,1
T0865,2025-09-01,Transaction,Samsung S24,Android 15,HIGH,TimeoutError,1
T0803,2025-01-25,OTP,Samsung A54,Android 14,HIGH,ValueError,0
T0712,2025-12-17,Authentication,Samsung A54,Android 14,HIGH,NetworkError,1
T0099,2025-03-14,OTP,Pixel 8,Android 15,HIGH,AuthError,0
T0729,2025-09-03,Payment,Samsung A54,Android 14,MEDIUM,AuthError,1
T0627,2025-09-29,UPI,Pixel 7,Android 14,CRITICAL,AuthError,0
T0498,2025-11-01,FraudDetection,Pixel 7,Android 14,CRITICAL,NetworkError,1
T0983,2025-10-06,Authorization,Pixel 7,Android 14,HIGH,AssertionError,1
T0096,2025-01-30,Transaction,iPhone 14,iOS 17,CRITICAL,NullPointerException,1
T0072,2025-04-23,Authorization,Samsung A54,Android 14,MEDIUM,TimeoutError,0
T0788,2025-03-05,FraudDetection,Samsung A54,Android 14,MEDIUM,NullPointerException,0
T0850,2025-05-27,AccountSecurity,Pixel 8,Android 15,MEDIUM,AuthError,1
T0993,2025-03-08,Authorization,Samsung A54,Android 14,CRITICAL,ValueError,1
T0208,2025-01-31,Authorization,Samsung S24,Android 15,HIGH,NetworkError,1
T0906,2025-03-09,OTP,iPhone 14,iOS 17,CRITICAL,ValueError,1
T0870,2025-10-22,FraudDetection,Samsung A54,Android 14,CRITICAL,NullPointerException,0
T0854,2025-01-29,UPI,iPhone 12,iOS 17,HIGH,TimeoutError,0
T0692,2025-07-17,Transaction,iPhone 15,iOS 18,MEDIUM,ValueError,1
T0045,2025-06-04,UPI,Pixel 8,Android 15,MEDIUM,AuthError,1
T0539,2025-10-13,AccountSecurity,iPhone 15,iOS 18,CRITICAL,ValueError,1
T0148,2025-09-20,Payment,iPhone 14,iOS 17,HIGH,AssertionError,0
T0733,2025-04-07,UPI,iPhone 15,iOS 18,HIGH,TimeoutError,1
T0215,2025-04-24,UPI,Pixel 8,Android 15,HIGH,TimeoutError,0
T0834,2025-11-05,Authorization,Pixel 7,Android 14,CRITICAL,NullPointerException,0
T0261,2025-03-22,Authentication,iPhone 14,iOS 17,MEDIUM,AssertionError,0
T0433,2025-04-19,Authorization,Pixel 7,Android 14,CRITICAL,ValueError,1
T0948,2025-02-24,FraudDetection,Pixel 8,Android 15,HIGH,ValueError,1
T0737,2025-11-20,OTP,Samsung A34,Android 13,CRITICAL,NetworkError,0
T0617,2025-04-27,OTP,Samsung A34,Android 13,CRITICAL,NullPointerException,1
T0998,2025-08-19,Transaction,iPhone 12,iOS 17,HIGH,NetworkError,0
T0440,2025-01-10,Authentication,iPhone 15,iOS 18,CRITICAL,AssertionError,0
T0969,2025-05-21,OTP,Samsung A54,Android 14,HIGH,AuthError,0
T0130,2025-11-06,AccountSecurity,Samsung A34,Android 13,MEDIUM,NetworkError,0
T0564,2025-02-24,Payment,iPhone 14,iOS 17,CRITICAL,TimeoutError,1
T0272,2025-03-13,Transaction,Samsung S24,Android 15,MEDIUM,ValueError,1
T0716,2025-01-24,Authentication,iPhone 14,iOS 17,HIGH,AuthError,0
T0916,2025-10-31,OTP,iPhone 12,iOS 17,CRITICAL,NullPointerException,1
T0487,2025-01-02,Authorization,iPhone 12,iOS 17,HIGH,TimeoutError,0
T0083,2025-03-25,UPI,Samsung A34,Android 13,MEDIUM,AssertionError,0
T0488,2025-12-27,FraudDetection,iPhone 14,iOS 17,HIGH,TimeoutError,1
T0839,2025-01-15,OTP,Samsung A34,Android 13,HIGH,AssertionError,0
T0385,2025-05-15,OTP,iPhone 14,iOS 17,CRITICAL,AssertionError,0
T0289,2025-05-05,FraudDetection,iPhone 12,iOS 17,CRITICAL,NetworkError,0
T0157,2025-04-19,FraudDetection,Pixel 8,Android 15,CRITICAL,ValueError,1
T0823,2025-05-05,FraudDetection,iPhone 15,iOS 18,HIGH,AuthError,0
T0792,2025-10-05,UPI,iPhone 14,iOS 17,CRITICAL,NetworkError,1
T0764,2025-07-25,AccountSecurity,iPhone 14,iOS 17,CRITICAL,NetworkError,1
T0332,2025-09-17,FraudDetection,Samsung S24,Android 15,MEDIUM,NullPointerException,1
T0619,2025-06-28,Payment,Samsung A54,Android 14,CRITICAL,ValueError,0
T0585,2025-12-31,Authorization,iPhone 14,iOS 17,HIGH,ValueError,1
T0286,2025-09-25,Payment,Pixel 7,Android 14,MEDIUM,AssertionError,0
T0716,2025-03-16,Authentication,iPhone 14,iOS 17,HIGH,AssertionError,1
T0809,2025-02-22,OTP,Samsung A34,Android 13,MEDIUM,NetworkError,0
T0464,2025-10-18,OTP,Samsung S24,Android 15,MEDIUM,NetworkError,1
T0024,2025-11-28,Authorization,Samsung S24,Android 15,MEDIUM,TimeoutError,1
T0377,2025-06-23,FraudDetection,Samsung A54,Android 14,HIGH,AssertionError,0
T0179,2025-07-03,AccountSecurity,Pixel 7,Android 14,HIGH,AssertionError,0
T0948,2025-03-01,FraudDetection,Pixel 8,Android 15,CRITICAL,AssertionError,0
T0104,2025-06-12,FraudDetection,iPhone 12,iOS 17,HIGH,AssertionError,1
T0906,2025-11-27,OTP,iPhone 14,iOS 17,HIGH,ValueError,1
T0179,2025-08-17,AccountSecurity,Pixel 7,Android 14,HIGH,AuthError,1
T0133,2025-04-02,OTP,Samsung A54,Android 14,CRITICAL,TimeoutError,0
T0963,2025-12-05,Authentication,Pixel 8,Android 15,CRITICAL,AuthError,1
T0939,2025-09-17,UPI,iPhone 15,iOS 18,HIGH,AuthError,1
T0131,2025-11-20,Authentication,iPhone 14,iOS 17,CRITICAL,ValueError,1
T0748,2025-11-19,FraudDetection,Samsung A54,Android 14,CRITICAL,NullPointerException,0
T0903,2025-12-06,Transaction,iPhone 12,iOS 17,MEDIUM,TimeoutError,1
T0726,2025-02-04,UPI,iPhone 14,iOS 17,HIGH,ValueError,0
T0788,2025-12-16,FraudDetection,Samsung A54,Android 14,CRITICAL,AuthError,1
T0140,2025-12-24,Authorization,iPhone 14,iOS 17,HIGH,ValueError,1
T0745,2025-06-10,Payment,Pixel 7,Android 14,MEDIUM,TimeoutError,1
T0295,2025-09-29,Transaction,Samsung S24,Android 15,MEDIUM,AuthError,1
T0729,2025-04-03,Payment,Samsung A54,Android 14,HIGH,TimeoutError,1
T0587,2025-07-27,FraudDetection,Pixel 8,Android 15,MEDIUM,NullPointerException,0
T0665,2025-08-27,FraudDetection,iPhone 12,iOS 17,CRITICAL,AssertionError,0
T0468,2025-07-11,AccountSecurity,Samsung A54,Android 14,MEDIUM,AssertionError,1
T0392,2025-09-29,AccountSecurity,Samsung S24,Android 15,CRITICAL,ValueError,1
T0293,2025-08-19,Authentication,Pixel 7,Android 14,HIGH,AssertionError,1
T0856,2025-06-13,Transaction,iPhone 12,iOS 17,MEDIUM,TimeoutError,0
T0823,2025-05-15,FraudDetection,iPhone 15,iOS 18,HIGH,AssertionError,0
T0202,2025-07-29,AccountSecurity,Pixel 8,Android 15,HIGH,TimeoutError,0
T0129,2025-01-03,Authorization,iPhone 15,iOS 18,CRITICAL,ValueError,1
T0148,2025-10-02,Payment,iPhone 14,iOS 17,HIGH,NetworkError,1
T0883,2025-04-06,Authorization,Samsung A54,Android 14,MEDIUM,AuthError,1
T0500,2025-04-19,Transaction,Samsung S24,Android 15,HIGH,AuthError,0
T0981,2025-06-18,UPI,iPhone 12,iOS 17,MEDIUM,NetworkError,1
T0517,2025-09-07,UPI,iPhone 12,iOS 17,CRITICAL,NullPointerException,1
T0211,2025-10-04,FraudDetection,iPhone 14,iOS 17,CRITICAL,TimeoutError,1
T0103,2025-10-13,FraudDetection,Samsung A34,Android 13,HIGH,AssertionError,0
T0878,2025-12-27,Transaction,Samsung S24,Android 15,HIGH,AuthError,1
T0892,2025-02-09,Payment,Samsung A34,Android 13,CRITICAL,TimeoutError,1
T0610,2025-05-21,Authorization,Samsung A34,Android 13,CRITICAL,TimeoutError,1
T0862,2025-02-13,FraudDetection,Samsung A54,Android 14,CRITICAL,AssertionError,0
T0164,2025-04-15,Authorization,iPhone 14,iOS 17,CRITICAL,AssertionError,0
T0035,2025-09-29,FraudDetection,Samsung S24,Android 15,MEDIUM,NullPointerException,0
T0148,2025-02-06,Payment,iPhone 14,iOS 17,HIGH,NullPointerException,1
T0994,2025-10-16,Authorization,Pixel 7,Android 14,CRITICAL,ValueError,1
T0533,2025-04-15,FraudDetection,Pixel 8,Android 15,MEDIUM,NullPointerException,0
T0918,2025-10-07,Authorization,Samsung A54,Android 14,MEDIUM,AuthError,1
T0291,2025-06-04,AccountSecurity,Samsung S24,Android 15,CRITICAL,TimeoutError,0
T0917,2025-04-10,Transaction,Pixel 8,Android 15,CRITICAL,TimeoutError,0
T0976,2025-04-15,Payment,Pixel 7,Android 14,CRITICAL,NullPointerException,0
T0942,2025-08-13,Authorization,iPhone 15,iOS 18,HIGH,ValueError,1
T0725,2025-12-12,AccountSecurity,Samsung S24,Android 15,HIGH,TimeoutError,0
T0302,2025-11-10,UPI,Pixel 8,Android 15,HIGH,NullPointerException,0
T0921,2025-05-28,Authorization,Samsung S24,Android 15,HIGH,AssertionError,1
T0314,2025-03-18,OTP,Samsung A54,Android 14,HIGH,NetworkError,1
T0083,2025-09-01,UPI,Samsung A34,Android 13,MEDIUM,ValueError,1
T0729,2025-07-26,Payment,Samsung A54,Android 14,CRITICAL,AuthError,0
T0993,2025-12-29,Authorization,Samsung A54,Android 14,CRITICAL,TimeoutError,0
T0992,2025-04-06,UPI,iPhone 12,iOS 17,HIGH,NetworkError,0
T0405,2025-09-28,UPI,Pixel 7,Android 14,CRITICAL,TimeoutError,1
T0910,2025-08-15,AccountSecurity,Pixel 8,Android 15,CRITICAL,NullPointerException,0
T0931,2025-09-14,AccountSecurity,Samsung A54,Android 14,MEDIUM,AssertionError,1
T0821,2025-03-14,UPI,iPhone 14,iOS 17,CRITICAL,AuthError,0
T0440,2025-05-05,Authentication,iPhone 15,iOS 18,CRITICAL,AssertionError,1
T0652,2025-03-27,FraudDetection,iPhone 12,iOS 17,MEDIUM,ValueError,1
T0053,2025-07-24,OTP,iPhone 14,iOS 17,CRITICAL,NetworkError,1
T0501,2025-09-17,OTP,Pixel 8,Android 15,MEDIUM,NullPointerException,1
T0666,2025-01-28,Authorization,iPhone 14,iOS 17,MEDIUM,TimeoutError,0
T0483,2025-12-26,Authentication,iPhone 12,iOS 17,HIGH,ValueError,0
T0898,2025-07-21,OTP,iPhone 12,iOS 17,CRITICAL,AssertionError,1
T0308,2025-09-23,Authentication,iPhone 14,iOS 17,MEDIUM,NullPointerException,1
T0094,2025-09-22,AccountSecurity,Samsung A34,Android 13,MEDIUM,ValueError,0
T0828,2025-12-16,Authorization,Samsung A34,Android 13,CRITICAL,NullPointerException,1
T0537,2025-11-19,UPI,Samsung S24,Android 15,CRITICAL,NetworkError,1
T0511,2025-04-16,UPI,Pixel 8,Android 15,HIGH,NullPointerException,0
T0562,2025-01-04,UPI,iPhone 12,iOS 17,MEDIUM,TimeoutError,0
T0667,2025-09-11,AccountSecurity,Pixel 8,Android 15,CRITICAL,NetworkError,1
T0162,2025-02-17,Transaction,iPhone 15,iOS 18,MEDIUM,ValueError,0
T0605,2025-03-08,Payment,Samsung A54,Android 14,CRITICAL,AssertionError,0
T0304,2025-04-22,FraudDetection,Pixel 7,Android 14,CRITICAL,NullPointerException,1
T0374,2025-04-24,UPI,iPhone 12,iOS 17,CRITICAL,NullPointerException,1
T0707,2025-05-17,Authorization,Samsung S24,Android 15,CRITICAL,ValueError,0
T0836,2025-07-17,OTP,Samsung S24,Android 15,CRITICAL,AuthError,0
T0918,2025-06-22,Authorization,Samsung A54,Android 14,HIGH,AuthError,1
T0363,2025-01-04,Authorization,Pixel 8,Android 15,CRITICAL,NetworkError,1
T0856,2025-06-29,Transaction,iPhone 12,iOS 17,CRITICAL,AssertionError,0
T0834,2025-11-03,Authorization,Pixel 7,Android 14,HIGH,AuthError,1
T0799,2025-10-22,Payment,Pixel 8,Android 15,MEDIUM,ValueError,1
T0894,2025-12-03,UPI,iPhone 15,iOS 18,MEDIUM,AssertionError,1
T0431,2025-03-05,Authentication,Pixel 7,Android 14,MEDIUM,AuthError,0
T0447,2025-09-14,Authorization,Samsung A34,Android 13,CRITICAL,AssertionError,0
T0310,2025-05-18,FraudDetection,Samsung S24,Android 15,CRITICAL,TimeoutError,0
T0350,2025-03-10,FraudDetection,iPhone 12,iOS 17,CRITICAL,AuthError,0
T0846,2025-12-07,AccountSecurity,iPhone 15,iOS 18,MEDIUM,AuthError,0
T0479,2025-07-06,Authorization,iPhone 15,iOS 18,CRITICAL,NetworkError,0
T0232,2025-12-29,Transaction,iPhone 15,iOS 18,CRITICAL,NetworkError,0
T0801,2025-10-05,Transaction,Pixel 8,Android 15,MEDIUM,NetworkError,1
T0586,2025-03-22,Payment,Pixel 7,Android 14,HIGH,NetworkError,0
T0116,2025-08-31,Transaction,Samsung A34,Android 13,CRITICAL,AuthError,0
T0634,2025-12-30,Authentication,Pixel 7,Android 14,CRITICAL,NullPointerException,0
T0225,2025-08-29,FraudDetection,Pixel 7,Android 14,CRITICAL,AuthError,1
T0859,2025-11-05,OTP,Pixel 8,Android 15,MEDIUM,AssertionError,0
T0060,2025-05-30,Payment,iPhone 15,iOS 18,CRITICAL,ValueError,0
T0848,2025-06-24,Transaction,Samsung S24,Android 15,HIGH,NetworkError,0
T0116,2025-01-30,Transaction,Samsung A34,Android 13,MEDIUM,NullPointerException,1
T0025,2025-07-29,Payment,Samsung S24,Android 15,CRITICAL,AssertionError,0
T0378,2025-07-01,FraudDetection,iPhone 15,iOS 18,CRITICAL,NetworkError,0
T0332,2025-05-11,FraudDetection,Samsung S24,Android 15,CRITICAL,TimeoutError,0
T0593,2025-12-30,Payment,Samsung S24,Android 15,HIGH,NullPointerException,0
T0196,2025-09-24,Payment,iPhone 14,iOS 17,HIGH,AuthError,1
T0223,2025-08-24,AccountSecurity,Samsung A34,Android 13,CRITICAL,AuthError,1
T0497,2025-03-09,AccountSecurity,Pixel 8,Android 15,CRITICAL,ValueError,1
T0044,2025-01-02,Payment,iPhone 15,iOS 18,HIGH,AssertionError,1
T0110,2025-05-16,Authentication,Pixel 8,Android 15,CRITICAL,NullPointerException,0
T0692,2025-04-19,Transaction,iPhone 15,iOS 18,CRITICAL,AuthError,0
T0055,2025-11-27,FraudDetection,iPhone 15,iOS 18,HIGH,AuthError,1
T0733,2025-09-04,UPI,iPhone 15,iOS 18,MEDIUM,NullPointerException,0
T0716,2025-12-04,Authentication,iPhone 14,iOS 17,CRITICAL,ValueError,1
T0839,2025-08-18,OTP,Samsung A34,Android 13,HIGH,NullPointerException,1
T0549,2025-04-03,UPI,Samsung A54,Android 14,MEDIUM,NullPointerException,1
T0545,2025-04-03,Authorization,Pixel 8,Android 15,MEDIUM,NetworkError,0
T0602,2025-09-04,Authorization,Samsung A54,Android 14,CRITICAL,AuthError,0
T0595,2025-12-05,OTP,Samsung S24,Android 15,CRITICAL,NullPointerException,0
T0565,2025-10-02,OTP,Samsung A54,Android 14,MEDIUM,ValueError,1
T0725,2025-06-11,AccountSecurity,Samsung S24,Android 15,MEDIUM,ValueError,0
T0048,2025-12-02,Transaction,Samsung A54,Android 14,MEDIUM,TimeoutError,1
T0587,2025-12-23,FraudDetection,Pixel 8,Android 15,CRITICAL,NullPointerException,0
T0772,2025-01-23,Authorization,Pixel 8,Android 15,MEDIUM,TimeoutError,0
T0154,2025-07-14,Authentication,Pixel 8,Android 15,HIGH,AssertionError,1
T0826,2025-11-01,FraudDetection,Samsung A54,Android 14,CRITICAL,NullPointerException,1
T0185,2025-01-13,AccountSecurity,iPhone 15,iOS 18,HIGH,NetworkError,1
T0682,2025-02-14,OTP,Samsung A54,Android 14,HIGH,TimeoutError,1
T0217,2025-10-01,Authorization,Pixel 7,Android 14,MEDIUM,NullPointerException,1
T0498,2025-01-02,FraudDetection,Pixel 7,Android 14,HIGH,AuthError,0
T0047,2025-03-14,OTP,Pixel 8,Android 15,MEDIUM,AssertionError,0
T0406,2025-09-10,UPI,Samsung A34,Android 13,HIGH,NullPointerException,0
T0231,2025-06-17,Authentication,Samsung A54,Android 14,CRITICAL,AuthError,0
T0296,2025-01-05,Authorization,iPhone 12,iOS 17,CRITICAL,NetworkError,1
T0841,2025-06-25,Payment,iPhone 12,iOS 17,CRITICAL,NetworkError,1
T0240,2025-03-10,UPI,Samsung S24,Android 15,MEDIUM,TimeoutError,0
T0257,2025-03-26,UPI,iPhone 14,iOS 17,MEDIUM,AuthError,0
T0031,2025-07-25,OTP,Samsung A54,Android 14,HIGH,NullPointerException,0
T0453,2025-02-24,Authorization,Samsung A34,Android 13,CRITICAL,ValueError,1
T0612,2025-12-13,OTP,Pixel 7,Android 14,MEDIUM,TimeoutError,1
T0262,2025-10-08,OTP,Pixel 8,Android 15,CRITICAL,AuthError,0
T0849,2025-03-22,FraudDetection,iPhone 15,iOS 18,HIGH,NetworkError,0
T0507,2025-08-12,Authorization,iPhone 12,iOS 17,CRITICAL,NullPointerException,1
T0579,2025-07-28,UPI,Pixel 8,Android 15,MEDIUM,TimeoutError,1
T0209,2025-12-16,OTP,Pixel 8,Android 15,HIGH,AuthError,0
T0567,2025-08-01,UPI,iPhone 15,iOS 18,HIGH,NullPointerException,1
T0790,2025-09-30,Authentication,iPhone 15,iOS 18,MEDIUM,ValueError,1
T0448,2025-12-14,Authentication,Pixel 8,Android 15,MEDIUM,TimeoutError,0
T0295,2025-03-19,Transaction,Samsung S24,Android 15,MEDIUM,NullPointerException,1
T0531,2025-03-11,OTP,iPhone 12,iOS 17,HIGH,NetworkError,1
T0179,2025-03-09,AccountSecurity,Pixel 7,Android 14,HIGH,AssertionError,0
T0612,2025-09-23,OTP,Pixel 7,Android 14,MEDIUM,AuthError,0
T0545,2025-06-18,Authorization,Pixel 8,Android 15,HIGH,ValueError,1
T0254,2025-03-18,Authorization,Samsung S24,Android 15,HIGH,AuthError,0
T0523,2025-12-09,FraudDetection,Pixel 7,Android 14,MEDIUM,NullPointerException,0
T0569,2025-12-25,AccountSecurity,Samsung A54,Android 14,HIGH,AuthError,0
T0388,2025-05-13,Payment,Pixel 8,Android 15,CRITICAL,NullPointerException,0
T0044,2025-10-23,Payment,iPhone 15,iOS 18,MEDIUM,AssertionError,1
T0420,2025-03-08,AccountSecurity,Pixel 7,Android 14,MEDIUM,NetworkError,0
T0414,2025-11-12,Payment,iPhone 12,iOS 17,CRITICAL,TimeoutError,0
T0892,2025-11-26,Payment,Samsung A34,Android 13,CRITICAL,AuthError,0
T0604,2025-02-10,Authentication,Pixel 8,Android 15,MEDIUM,AssertionError,0
T0278,2025-07-15,Payment,Samsung S24,Android 15,CRITICAL,ValueError,1
T0487,2025-08-20,Authorization,iPhone 12,iOS 17,MEDIUM,AssertionError,1
T0277,2025-05-26,UPI,Pixel 7,Android 14,MEDIUM,TimeoutError,1
T0686,2025-11-08,FraudDetection,Pixel 8,Android 15,CRITICAL,NetworkError,1
T0857,2025-10-31,Authentication,Samsung S24,Android 15,CRITICAL,ValueError,0
T0541,2025-05-03,Authentication,iPhone 14,iOS 17,HIGH,NullPointerException,1
T0567,2025-02-13,UPI,iPhone 15,iOS 18,MEDIUM,AssertionError,0
T0826,2025-02-04,FraudDetection,Samsung A54,Android 14,HIGH,ValueError,1
T0394,2025-04-21,Transaction,Samsung A54,Android 14,CRITICAL,NetworkError,0
T0744,2025-04-06,UPI,Samsung S24,Android 15,CRITICAL,NullPointerException,0
T0773,2025-09-25,OTP,Pixel 8,Android 15,CRITICAL,AssertionError,0
T0278,2025-10-19,Payment,Samsung S24,Android 15,MEDIUM,TimeoutError,0
T0801,2025-04-04,Transaction,Pixel 8,Android 15,MEDIUM,AssertionError,1
T0827,2025-12-14,OTP,Pixel 8,Android 15,CRITICAL,AssertionError,1
T0741,2025-05-29,AccountSecurity,iPhone 15,iOS 18,CRITICAL,TimeoutError,1
T0533,2025-12-30,FraudDetection,Pixel 8,Android 15,HIGH,TimeoutError,1
T0104,2025-01-02,FraudDetection,iPhone 12,iOS 17,CRITICAL,TimeoutError,0
T0405,2025-07-21,UPI,Pixel 7,Android 14,CRITICAL,AuthError,1
T0857,2025-04-20,Authentication,Samsung S24,Android 15,CRITICAL,NullPointerException,1
T0772,2025-03-02,Authorization,Pixel 8,Android 15,HIGH,AssertionError,1
T0734,2025-04-16,Authentication,iPhone 14,iOS 17,HIGH,AssertionError,1
T0875,2025-09-27,OTP,Pixel 8,Android 15,MEDIUM,AuthError,0
T0806,2025-02-06,AccountSecurity,Samsung A54,Android 14,MEDIUM,AssertionError,1
T0133,2025-12-21,OTP,Samsung A54,Android 14,CRITICAL,ValueError,1
T0857,2025-12-17,Authentication,Samsung S24,Android 15,HIGH,ValueError,0
T0825,2025-10-31,FraudDetection,Samsung A34,Android 13,MEDIUM,ValueError,0
T0589,2025-08-04,Transaction,Pixel 7,Android 14,MEDIUM,ValueError,0
T0814,2025-08-14,FraudDetection,Pixel 8,Android 15,CRITICAL,NullPointerException,1
